"SubID","Decision","Speed","Question","Response"
"109","immoral","Quick","C1",7
"109","immoral","Slow","C1",1
"110","immoral","Quick","C1",6
"110","immoral","Slow","C1",2
"111","immoral","Quick","C1",7
"111","immoral","Slow","C1",2
"112","immoral","Quick","C1",6
"112","immoral","Slow","C1",2
"113","moral","Quick","C1",7
"113","moral","Slow","C1",1
"114","moral","Quick","C1",7
"114","moral","Slow","C1",1
"115","immoral","Quick","C1",6
"115","immoral","Slow","C1",1
"116","immoral","Quick","C1",6
"116","immoral","Slow","C1",2
"117","moral","Quick","C1",6
"117","moral","Slow","C1",3
"118","moral","Quick","C1",7
"118","moral","Slow","C1",2
"119","immoral","Quick","C1",7
"119","immoral","Slow","C1",1
"1","immoral","Quick","C2",7
"1","immoral","Slow","C2",2
"2","moral","Quick","C2",6
"2","moral","Slow","C2",2
"3","moral","Quick","C2",3
"3","moral","Slow","C2",5
"4","immoral","Quick","C2",7
"4","immoral","Slow","C2",1
"5","moral","Quick","C2",6
"5","moral","Slow","C2",3
"6","immoral","Quick","C2",7
"6","immoral","Slow","C2",4
"7","immoral","Quick","C2",7
"7","immoral","Slow","C2",2
"8","immoral","Quick","C2",7
"8","immoral","Slow","C2",1
"9","moral","Quick","C2",7
"9","moral","Slow","C2",2
"10","immoral","Quick","C2",5
"10","immoral","Slow","C2",5
"11","moral","Quick","C2",7
"11","moral","Slow","C2",2
"12","immoral","Quick","C2",7
"12","immoral","Slow","C2",1
"13","immoral","Quick","C2",7
"13","immoral","Slow","C2",1
"14","moral","Quick","C2",6
"14","moral","Slow","C2",3
"15","moral","Quick","C2",6
"15","moral","Slow","C2",6
"16","moral","Quick","C2",7
"16","moral","Slow","C2",2
"17","moral","Quick","C2",6
"17","moral","Slow","C2",2
"18","moral","Quick","C2",3
"18","moral","Slow","C2",5
"19","immoral","Quick","C2",7
"19","immoral","Slow","C2",1
"20","moral","Quick","C2",7
"20","moral","Slow","C2",3
"21","moral","Quick","C2",6
"21","moral","Slow","C2",7
"22","immoral","Quick","C2",7
"22","immoral","Slow","C2",2
"23","immoral","Quick","C2",6
"23","immoral","Slow","C2",1
"24","immoral","Quick","C2",2
"24","immoral","Slow","C2",3
"25","moral","Quick","C2",7
"25","moral","Slow","C2",1
"26","moral","Quick","C2",6
"26","moral","Slow","C2",2
"27","moral","Quick","C2",5
"27","moral","Slow","C2",2
"28","immoral","Quick","C2",6
"28","immoral","Slow","C2",1
"29","moral","Quick","C2",5
"29","moral","Slow","C2",5
"30","immoral","Quick","C2",7
"30","immoral","Slow","C2",1
"31","immoral","Quick","C2",7
"31","immoral","Slow","C2",2
"32","immoral","Quick","C2",6
"32","immoral","Slow","C2",2
"33","immoral","Quick","C2",7
"33","immoral","Slow","C2",3
"34","moral","Quick","C2",7
"34","moral","Slow","C2",1
"35","moral","Quick","C2",7
"35","moral","Slow","C2",3
"36","immoral","Quick","C2",7
"36","immoral","Slow","C2",2
"37","immoral","Quick","C2",6
"37","immoral","Slow","C2",1
"38","immoral","Quick","C2",7
"38","immoral","Slow","C2",3
"39","immoral","Quick","C2",6
"39","immoral","Slow","C2",3
"40","moral","Quick","C2",7
"40","moral","Slow","C2",1
"41","immoral","Quick","C2",7
"41","immoral","Slow","C2",1
"42","immoral","Quick","C2",2
"42","immoral","Slow","C2",3
"43","immoral","Quick","C2",1
"43","immoral","Slow","C2",2
"44","immoral","Quick","C2",5
"44","immoral","Slow","C2",1
"45","moral","Quick","C2",7
"45","moral","Slow","C2",1
"46","immoral","Quick","C2",7
"46","immoral","Slow","C2",3
"47","moral","Quick","C2",6
"47","moral","Slow","C2",1
"48","moral","Quick","C2",7
"48","moral","Slow","C2",2
"49","immoral","Quick","C2",6
"49","immoral","Slow","C2",2
"50","moral","Quick","C2",7
"50","moral","Slow","C2",2
"51","immoral","Quick","C2",6
"51","immoral","Slow","C2",2
"52","immoral","Quick","C2",7
"52","immoral","Slow","C2",5
"53","immoral","Quick","C2",7
"53","immoral","Slow","C2",4
"54","immoral","Quick","C2",7
"54","immoral","Slow","C2",3
"55","immoral","Quick","C2",7
"55","immoral","Slow","C2",1
"56","immoral","Quick","C2",7
"56","immoral","Slow","C2",1
"57","moral","Quick","C2",4
"57","moral","Slow","C2",2
"58","moral","Quick","C2",7
"58","moral","Slow","C2",2
"59","moral","Quick","C2",5
"59","moral","Slow","C2",5
"60","immoral","Quick","C2",6
"60","immoral","Slow","C2",1
"61","immoral","Quick","C2",7
"61","immoral","Slow","C2",2
"62","moral","Quick","C2",7
"62","moral","Slow","C2",3
"63","immoral","Quick","C2",7
"63","immoral","Slow","C2",1
"64","moral","Quick","C2",7
"64","moral","Slow","C2",1
"65","moral","Quick","C2",7
"65","moral","Slow","C2",2
"66","immoral","Quick","C2",7
"66","immoral","Slow","C2",1
"67","immoral","Quick","C2",7
"67","immoral","Slow","C2",2
"68","immoral","Quick","C2",7
"68","immoral","Slow","C2",1
"69","immoral","Quick","C2",7
"69","immoral","Slow","C2",3
"70","moral","Quick","C2",7
"70","moral","Slow","C2",1
"71","moral","Quick","C2",3
"71","moral","Slow","C2",5
"72","moral","Quick","C2",7
"72","moral","Slow","C2",2
"73","immoral","Quick","C2",6
"73","immoral","Slow","C2",4
"74","immoral","Quick","C2",6
